CarId;Ratio;MatchedId;MatchedBrand;MatchedModel;MatchedGeneration;MatchedVersion
42981;0.7041420118;4598;Toyota;Auris;II(2013-2018);Hatchback5d(2013-2015)
44012;0.7142857143;4530;Toyota;Prius;III(2009-2020);Prius+(2013-2016)
44012;0.7041420118;4598;Toyota;Auris;II(2013-2018);Hatchback5d(2013-2015)
112767;0.5982905983;4462;Toyota;Corolla;X(2007-2014);Sedan(2007-2010)
112767;0.5982905983;4476;Toyota;Corolla;V(1983-1987);Sedan(1983-1987)
105332;0.8290598291;4039;Renault;Scenic;III(2009-2016);Van(2009-2011)
105332;0.8128898129;4036;Renault;Scenic;III(2009-2016);XMOD(2013-2016)
<NULL>;0.3076923077;3853;Renault;Austral;;
<NULL>;0.2977667494;5608;Intrall;Lublin 3;;
105883;0.7582417582;4530;Toyota;Prius;III(2009-2020);Prius+(2013-2016)
105883;0.7297297297;4528;Toyota;Prius;IV(2016-2023);Hatchback(2016-2019)
90311;0.6703296703;620;BMW;X3;F25(2010-2017);SUV(2010-2016)
90311;0.5811965812;626;BMW;X4;G01(2014-2017);
94030;0.8128898129;4460;Toyota;Corolla;XI(2013-2018);Sedan(2013-2016)
94030;0.6794871795;4459;Toyota;Corolla;XI(2013-2018);SedanFacelifting(2016-2018)
74352;0.5970695971;620;BMW;X3;F25(2010-2017);SUV(2010-2016)
74352;0.5970695971;634;BMW;X5;F15(2013-2018);SUV(2013-2018)
113944;0.5970695971;620;BMW;X3;F25(2010-2017);SUV(2010-2016)
113944;0.5970695971;634;BMW;X5;F15(2013-2018);SUV(2013-2018)
105224;0.6832579186;644;BMW;X6;F16(2014-2019);M(2014-2019)
105224;0.5917159763;672;BMW;Z1;;
96445;0.7206477733;4458;Toyota;Corolla;XII(2019-teraz);Sedan(2019-2022)
96445;0.6923076923;4457;Toyota;Corolla;XII(2019-teraz);TSKombi(2019-2022)
105126;0.5652173913;631;BMW;X5;G05(2018-teraz);SUV(2018-teraz)
105126;0.5551839465;617;BMW;X3;G01(2017-teraz);SUV(2017-2021)
110805;0.6923076923;631;BMW;X5;G05(2018-teraz);SUV(2018-teraz)
110805;0.6703296703;632;BMW;X5;G05(2018-teraz);MSUV(2018-teraz)
70332;0.7206477733;4458;Toyota;Corolla;XII(2019-teraz);Sedan(2019-2022)
70332;0.6923076923;4457;Toyota;Corolla;XII(2019-teraz);TSKombi(2019-2022)
74707;0.7142857143;4530;Toyota;Prius;III(2009-2020);Prius+(2013-2016)
74707;0.7041420118;4598;Toyota;Auris;II(2013-2018);Hatchback5d(2013-2015)
101445;0.6334841629;3940;Renault;Megane;IV(2016-teraz);GT(2017-2020)
101445;0.5982905983;3939;Renault;Megane;IV(2016-teraz);R.S.(2018-2020)
76432;0.6837606838;3881;Renault;Clio;I(1990-1998);
76432;0.6153846154;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
91884;0.8461538462;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
91884;0.7582417582;3867;Renault;Clio;IV(2012-2019);Societe(2013-2016)
92196;0.8461538462;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
92196;0.7582417582;3867;Renault;Clio;IV(2012-2019);Societe(2013-2016)
92362;0.8461538462;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
92362;0.7582417582;3867;Renault;Clio;IV(2012-2019);Societe(2013-2016)
113168;0.6923076923;631;BMW;X5;G05(2018-teraz);SUV(2018-teraz)
113168;0.6703296703;632;BMW;X5;G05(2018-teraz);MSUV(2018-teraz)
103476;0.7206477733;4458;Toyota;Corolla;XII(2019-teraz);Sedan(2019-2022)
103476;0.6923076923;4457;Toyota;Corolla;XII(2019-teraz);TSKombi(2019-2022)
111822;0.6366047745;834;Dacia;Duster;III(2024-teraz);
111822;0.6153846154;837;Dacia;Duster;I(2010-2017);Van(2016-2017)
114057;0.8131868132;4436;Toyota;Camry;IX(2018-teraz);
114057;0.6593406593;4439;Toyota;Camry;VI(2006-2014);
90320;0.7142857143;4530;Toyota;Prius;III(2009-2020);Prius+(2013-2016)
90320;0.7041420118;4598;Toyota;Auris;II(2013-2018);Hatchback5d(2013-2015)
111766;0.7435897436;644;BMW;X6;F16(2014-2019);M(2014-2019)
111766;0.6153846154;620;BMW;X3;F25(2010-2017);SUV(2010-2016)
105342;0.6346153846;626;BMW;X4;G01(2014-2017);
